image_name,pod_count,seed_count,split_count
66374172.JPG,46,0,0
67361725.JPG,26,0,0
67362439.JPG,34,0,0
67361897.JPG,39,0,0
67361493.JPG,40,0,0
67362273.JPG,32,0,0
67361459.JPG,42,0,0
67361953.JPG,43,0,0
67362153.JPG,54,0,0
67361955.JPG,32,0,0
67361767.JPG,40,0,0
67363309.JPG,29,0,0
67362055.JPG,52,0,0
67361495.JPG,41,0,0
67362217.JPG,37,0,0
67361875.JPG,59,0,0
67361985.JPG,29,0,0
67362103.JPG,44,0,0
67362039.JPG,44,0,0
67361927.JPG,54,0,0
67361743.JPG,31,0,0
67362085.JPG,45,0,0
67361625.JPG,36,0,0
67362095.JPG,35,0,0
67361283.JPG,47,0,0
67362021.JPG,53,0,0
67361999.JPG,53,0,0
67361901.JPG,34,0,0
67362117.JPG,36,0,0
67362003.JPG,36,0,0
67361275.JPG,35,0,0
67361885.JPG,45,0,0
67362637.JPG,55,0,0
67361237.JPG,40,0,0
67361693.JPG,41,0,0
67361369.JPG,51,0,0
67361465.JPG,39,0,0
67361787.JPG,54,0,0
67361959.JPG,51,0,0
67362237.JPG,40,0,0
67361849.JPG,46,0,0
67361837.JPG,45,0,0
67361941.JPG,35,0,0
67361989.JPG,26,0,0
67362211.JPG,47,0,0
67362231.JPG,34,0,0
67362119.JPG,35,0,0
67361295.JPG,42,0,0
67361861.JPG,42,0,0
67361823.JPG,54,0,0
67361455.JPG,33,0,0
67362253.JPG,58,0,0
67361817.JPG,57,0,0
67361231.JPG,38,0,0
67362151.JPG,69,0,0
67363101.JPG,42,0,0
67361677.JPG,50,0,0
67361419.JPG,59,0,0
67361815.JPG,78,0,0
67361543.JPG,39,0,0
67361235.JPG,65,0,0
67361893.JPG,25,0,0
67361935.JPG,60,0,0
67361491.JPG,53,0,0
67363667.JPG,54,0,0
67362161.JPG,69,0,0
67361851.JPG,33,0,0
67363475.JPG,60,0,0
67362199.JPG,33,0,0
67363623.JPG,73,0,0
67361931.JPG,58,0,0
67361357.JPG,31,0,0
67361841.JPG,38,0,0
